modelo,atributo,diferenca_classificacao_alto_risco,diferenca_recall,diferenca_falso_positivo,diferenca_falso_negativo
Modelo completo,Escolaridade,0.23467432950191575,0.5490909090909091,0.12887630995180907,0.5490909090909091
Modelo completo,Estado civil,0.09356872635561164,0.046604938271604834,0.09453248811410464,0.046604938271604945
Modelo completo,Faixa de idade,0.1339563862928349,0.14491449144914492,0.1135982754827044,0.14491449144914492
Modelo completo,Sexo,0.06114564392280042,0.00023448400749415121,0.060655086418248405,0.00023448400749420673
Modelo sem variáveis demográficas,Escolaridade,0.10670498084291186,0.5381818181818181,0.06664380037729378,0.5381818181818182
Modelo sem variáveis demográficas,Estado civil,0.07969735182849941,0.11040723981900458,0.12657429526994746,0.11040723981900452
Modelo sem variáveis demográficas,Faixa de idade,0.13082956486785247,0.13267326732673268,0.13387821088557572,0.13267326732673268
Modelo sem variáveis demográficas,Sexo,0.04008666754436807,0.04243696210877734,0.04627274914878693,0.04243696210877734
