modelo,usa_variaveis_demograficas,threshold,acuracia,precisao,recall,f1_score,roc_auc,pr_auc,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos
Modelo completo,True,0.36,0.687969297513766,0.38751033912324234,0.7066365007541479,0.500534188034188,0.7738807279764439,0.5537266281663566,3186,1481,389,937
Modelo sem variáveis demográficas,False,0.36,0.6846320707492074,0.38337468982630274,0.6990950226244343,0.4951923076923077,0.7717635553504419,0.5513480835897239,3176,1491,399,927
