modelo,acuracia,precisao,recall,f1_score,roc_auc,pr_auc,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos
Random Forest,0.7930919405973635,0.5306267806267806,0.5618401206636501,0.5457875457875457,0.7842131347437691,0.563757859924164,4008,659,581,745
HistGradientBoosting,0.7595528116135492,0.46767847105115234,0.6274509803921569,0.5359098228663446,0.7822485853466834,0.5574405385743264,3720,947,494,832
Regressão Logística,0.6911396629400968,0.38276016078606523,0.6463046757164405,0.48078541374474054,0.7176134962564084,0.5027566294971519,3285,1382,469,857
